census_id,csdname,tier,county,website,matched_on
3501012,Cornwall,Single Tier,"Stormont, Dundas and Glengarry",http://www.cornwall.ca/,name
3514014,Cramahe,Lower Tier,Northumberland,http://www.visitcramahe.ca/,name
3538007,Dawn-Euphemia,Lower Tier,Lambton,https://dawneuphemia.ca/,name
3559040,Dawson,Single Tier,Rainy River,https://dawsontownship.weebly.com/,name
3547096,Deep River,Lower Tier,Renfrew,http://www.deepriver.ca/,name
3512002,Deseronto,Lower Tier,Hastings,http://www.deseronto.ca/,name
3558034,Dorion,Single Tier,Thunder Bay,http://www.doriontownship.ca/,name
3515023,Douro-Dummer,Lower Tier,Peterborough,http://www.dourodummer.on.ca/,name
3509010,Drummond/North Elmsley,Lower Tier,Lanark,https://www.dnetownship.ca/,name
3560027,Dryden,Single Tier,Kenora,http://www.dryden.ca/,name
3557079,Dubreuilville,Single Tier,Algoma,http://www.dubreuilville.ca/,name
3522,Dufferin,Upper Tier,Dufferin,https://www.dufferincounty.ca/,name
3518,Durham,Upper Tier,Durham,http://www.durham.ca/,name
3534030,Dutton/Dunwich,Lower Tier,Elgin,http://www.duttondunwich.on.ca/,name
3546024,Dysart et al,Lower Tier,Haliburton,http://www.dysartetal.ca/,name
3560032,Ear Falls,Single Tier,Kenora,http://www.ear-falls.com/,name
3548034,East Ferris,Single Tier,Nipissing,http://eastferris.ca/,name
3522001,East Garafraxa,Lower Tier,Dufferin,https://www.eastgarafraxa.ca/en/index.aspx,name
