census_id,csdname,county,system,board_number,board_name,split,n_sources,evidence
3523033,Mapleton,Wellington,catholic,B67130,Wellington Catholic District School Board,0,2,crawl|sections
3523033,Mapleton,Wellington,public,B66117,Upper Grand District School Board,0,2,crawl|schools
3558059,Marathon,Thunder Bay,catholic,B29076,Superior North Catholic District School Board,0,3,crawl|schools|sections
3558059,Marathon,Thunder Bay,public,B28070,Superior-Greenstone District School Board,0,2,crawl|schools
3519036,Markham,York,catholic,B67075,York Catholic District School Board,0,2,harvest|schools
3519036,Markham,York,public,B66095,York Region District School Board,0,2,harvest|schools
3552013,Markstay-Warren,Sudbury,public,B28029,Rainbow District School Board,0,1,schools
3512046,Marmora and Lake,Hastings,catholic,B67202,Algonquin and Lakeshore Catholic District School Board,0,1,schools
3512046,Marmora and Lake,Hastings,public,B66222,Hastings & Prince Edward District School Board,0,1,schools
3554056,Matachewan,Timiskaming,catholic,B29009,Northeastern Catholic District School Board,0,1,county-inference
3554056,Matachewan,Timiskaming,public,B28002,District School Board Ontario North East,0,1,county-inference
3548021,Mattawa,Nipissing,catholic,B29017,Nipissing-Parry Sound Catholic District School Board,0,2,harvest|schools
3548021,Mattawa,Nipissing,public,B28037,Near North District School Board,0,2,harvest|schools
3548019,Mattawan,Nipissing,catholic,B29017,Nipissing-Parry Sound Catholic District School Board,0,1,county-inference
3556077,Mattice-Val Côté,Cochrane,catholic,B29009,Northeastern Catholic District School Board,0,1,county-inference
3556077,Mattice-Val Côté,Cochrane,public,B28002,District School Board Ontario North East,0,1,county-inference
3549031,McDougall,Parry Sound,public,B28037,Near North District School Board,0,1,schools
3554058,McGarry,Timiskaming,catholic,B29009,Northeastern Catholic District School Board,0,1,county-inference
3554058,McGarry,Timiskaming,public,B28002,District School Board Ontario North East,0,1,county-inference
3549028,McKellar,Parry Sound,catholic,B67091,Simcoe Muskoka Catholic District School Board,0,2,crawl|harvest
3549028,McKellar,Parry Sound,public,B28037,Near North District School Board,0,2,crawl|harvest
3549012,McMurrich/Monteith,Parry Sound,catholic,B29017,Nipissing-Parry Sound Catholic District School Board,0,2,crawl|sections
3549012,McMurrich/Monteith,Parry Sound,public,B28037,Near North District School Board,0,1,county-inference
3547003,McNab/Braeside,Renfrew,catholic,B67199,Renfrew County Catholic District School Board,0,1,county-inference
3547003,McNab/Braeside,Renfrew,public,B66214,Renfrew County District School Board,0,1,schools
3542047,Meaford,Grey,catholic,B67008,Bruce-Grey Catholic District School Board,0,1,county-inference
3542047,Meaford,Grey,public,B66001,Bluewater District School Board,0,1,schools
3522019,Melancthon,Dufferin,catholic,B67083,Dufferin-Peel Catholic District School Board,0,1,crawl
3522019,Melancthon,Dufferin,public,B66117,Upper Grand District School Board,0,2,crawl|sections
3507052,Merrickville-Wolford,Leeds and Grenville,catholic,B67172,Catholic District School Board of Eastern Ontario,0,1,county-inference
3507052,Merrickville-Wolford,Leeds and Grenville,public,B66192,Upper Canada District School Board,0,1,schools
3539033,Middlesex Centre,Middlesex,catholic,B67032,London District Catholic School Board,0,4,crawl|harvest|schools|sections
3539033,Middlesex Centre,Middlesex,public,B66044,Thames Valley District School Board,0,4,crawl|harvest|schools|sections
