census_id,csdname,county,system,board_number,board_name,n_schools,enrolment
3531025,West Perth,Perth,public,B66010,Avon Maitland District School Board,3,1095
3507033,Westport,Leeds and Grenville,catholic,B67172,Catholic District School Board of Eastern Ontario,1,85
3518009,Whitby,Durham,catholic,B67105,Durham Catholic District School Board,14,6780
3518009,Whitby,Durham,public,B66060,Durham District School Board,31,20520
3519044,Whitchurch-Stouffville,York,catholic,B67075,York Catholic District School Board,5,1575
3519044,Whitchurch-Stouffville,York,public,B66095,York Region District School Board,9,5690
3557091,White River,Algoma,catholic,B29025,Huron-Superior Catholic District School Board,1,70
3549039,Whitestone,Parry Sound,public,B28037,Near North District School Board,1,55
3547056,Whitewater Region,Renfrew,catholic,B67199,Renfrew County Catholic District School Board,1,0
3547056,Whitewater Region,Renfrew,public,B66214,Renfrew County District School Board,2,630
3530020,Wilmot,Waterloo,catholic,B67148,Waterloo Catholic District School Board,1,405
3530020,Wilmot,Waterloo,public,B66176,Waterloo Region District School Board,6,3345
3537039,Windsor,Essex,catholic,B67024,Windsor-Essex Catholic District School Board,24,13730
3537039,Windsor,Essex,public,B66028,Greater Essex County District School Board,37,20020
3512054,Wollaston,Hastings,public,B66222,Hastings & Prince Edward District School Board,1,65
3532042,Woodstock,Oxford,catholic,B67032,London District Catholic School Board,4,1900
3532042,Woodstock,Oxford,public,B66044,Thames Valley District School Board,11,5880
3530035,Woolwich,Waterloo,catholic,B67148,Waterloo Catholic District School Board,1,225
3530035,Woolwich,Waterloo,public,B66176,Waterloo Region District School Board,8,3565
3532027,Zorra,Oxford,public,B66044,Thames Valley District School Board,3,1165
